[INFO] Using run: jolly-water-235 (47h6gdg8)
cuda
Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=2, num_train_steps=1000000, learning_starts=20000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=10000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=2, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30, use_rpc=1)
RPC: True
[save_snapshot] saved /home/harsh/arjun/robust-predictable-control/checkpoints/RPC_Walker2d-v5/2025-10-16_13-25-46_RPC_Walker2d-v5_seed_2_kl_1_47h6gdg8/0.pt
Episode: 119, total numsteps: 2503, return: 11.68
Episode: 120, total numsteps: 2521, return: -1.15
Episode: 121, total numsteps: 2533, return: -0.44
Episode: 122, total numsteps: 2551, return: -0.06
Episode: 123, total numsteps: 2581, return: 10.6
Episode: 124, total numsteps: 2592, return: -2.6
Episode: 125, total numsteps: 2609, return: 1.55
Episode: 126, total numsteps: 2628, return: 2.81
Episode: 127, total numsteps: 2666, return: -0.71
Episode: 128, total numsteps: 2678, return: -0.47
Episode: 129, total numsteps: 2698, return: 2.73
Episode: 130, total numsteps: 2715, return: -3.53
Episode: 131, total numsteps: 2766, return: 11.4
Episode: 132, total numsteps: 2785, return: 2.51
Episode: 133, total numsteps: 2808, return: 7.86
Episode: 134, total numsteps: 2822, return: -0.07
Episode: 135, total numsteps: 2849, return: -0.11
Episode: 136, total numsteps: 2865, return: -1.02
Episode: 137, total numsteps: 2886, return: 0.91
Episode: 138, total numsteps: 2903, return: -11.46
Episode: 139, total numsteps: 2946, return: 4.18
Episode: 140, total numsteps: 2967, return: 4.43
Episode: 141, total numsteps: 2996, return: 3.53
Episode: 142, total numsteps: 3019, return: 8.98
Episode: 143, total numsteps: 3034, return: 1.7
Episode: 144, total numsteps: 3044, return: -1.6
Episode: 145, total numsteps: 3068, return: -5.06
Episode: 146, total numsteps: 3079, return: -0.6
Episode: 147, total numsteps: 3096, return: 3.21
Episode: 148, total numsteps: 3117, return: -4.98
Episode: 149, total numsteps: 3136, return: 3.55
Episode: 150, total numsteps: 3146, return: -3.33
Episode: 151, total numsteps: 3178, return: 4.7
Episode: 152, total numsteps: 3196, return: 0.21
Episode: 153, total numsteps: 3216, return: -0.36
Episode: 154, total numsteps: 3243, return: 5.07
Episode: 155, total numsteps: 3264, return: -5.67
Episode: 156, total numsteps: 3306, return: 17.87
Episode: 157, total numsteps: 3332, return: 1.78
Episode: 158, total numsteps: 3348, return: 4.95
Episode: 159, total numsteps: 3372, return: -4.96
Episode: 160, total numsteps: 3382, return: -2.46
Episode: 161, total numsteps: 3406, return: -0.93
Episode: 162, total numsteps: 3424, return: 7.99
Episode: 163, total numsteps: 3451, return: -7.99
Episode: 164, total numsteps: 3473, return: 5.15
Episode: 165, total numsteps: 3517, return: 8.56
Episode: 166, total numsteps: 3575, return: 18.19
Episode: 167, total numsteps: 3583, return: -3.78
Episode: 168, total numsteps: 3603, return: 2.14
Episode: 169, total numsteps: 3641, return: 7.33
Episode: 170, total numsteps: 3665, return: -3.95
Episode: 171, total numsteps: 3684, return: 0.08
Episode: 172, total numsteps: 3709, return: 1.79
Episode: 173, total numsteps: 3747, return: 13.78
Episode: 174, total numsteps: 3775, return: 0.08
Episode: 175, total numsteps: 3792, return: 5.35
Episode: 176, total numsteps: 3817, return: -4.32
Episode: 177, total numsteps: 3851, return: 3.33
Episode: 178, total numsteps: 3861, return: -1.62
Episode: 179, total numsteps: 3896, return: 9.37
Episode: 180, total numsteps: 3908, return: -0.95
Episode: 181, total numsteps: 3927, return: -3.08
Episode: 182, total numsteps: 3944, return: -7.87
Episode: 183, total numsteps: 3969, return: -4.71
Episode: 184, total numsteps: 3987, return: -0.04
Episode: 185, total numsteps: 4011, return: -6.11
Episode: 186, total numsteps: 4028, return: -1.53
Episode: 187, total numsteps: 4042, return: 0.85
Episode: 188, total numsteps: 4054, return: -1.25
Episode: 189, total numsteps: 4069, return: 2.62
Episode: 190, total numsteps: 4084, return: 4.46
Episode: 191, total numsteps: 4097, return: 0.01
